student_id,first_name,last_name,gender,birth_date,email_address,admitted,enrolled,parent_alum,parent_highest_ed,first_gen_hed_student,high_school_gpa,was_hs_athlete_ind,home_state,admit_type,private_hs_ind,multiple_majors_ind,secondary_class_percentile,department_id,admit_semester_id,first_yr_gpa,cumulative_gpa,enroll_status,planned_grad_sem_id,Address
100000,Jorge,Souza_128,F,,Jorge.Souza_128@example.com,1,1,0,0,1,2.66,1,Guam,Regular,0,0,66,18,29,0,0,enrolled,36,1;LORONG 20 GEYLANG;# 1 SUITES;SINGAPORE;398721
100001,Jane,Doe_077,M,,Jane.Doe_077@example.com,0,0,0,5,0,3.42,0,Delaware,Regular,0,1,85,3,29,0,0,declined,0,1;BENOI ROAD;NIL;SINGAPORE;629875
100002,Jane,Doe_388,M,,Jane.Doe_388@example.com,1,1,0,8,0,3.55,0,Hawaii,Regular,0,0,88,31,29,0,0,enrolled,36,1;BOSCOMBE ROAD;NIL;SINGAPORE;439731
100003,Jane,Doe_295,F,,Jane.Doe_295@example.com,1,1,0,7,0,3.29,1,Tennessee,Regular,0,0,82,30,29,0,0,enrolled,36,1;BUKIT BATOK STREET 22;NIL;SINGAPORE;659592
100004,Jorge,Souza_048,F,,Jorge.Souza_048@example.com,0,0,0,8,0,3.53,0,Puerto Rico,Regular,0,1,88,9,29,0,0,declined,0,1;BUROH LANE;NIL;SINGAPORE;618292
100005,John,Doe_242,F,,John.Doe_242@example.com,1,1,0,7,0,3.69,1,Arizona,Regular,0,0,92,24,29,0,0,enrolled,36,7;CANBERRA DRIVE;1 CANBERRA;SINGAPORE;768069
100006,Mateo,Jackson_437,F,,Mateo.Jackson_437@example.com,1,1,0,1,1,3.52,1,Mississippi,Regular,0,0,87,7,29,0,0,enrolled,36,9;CANBERRA DRIVE;1 CANBERRA;SINGAPORE;768070
100007,Mary,Major_144,F,,Mary.Major_144@example.com,0,0,0,5,0,3.47,0,Nebraska,Regular,1,1,86,10,29,0,0,declined,0,11;CANBERRA DRIVE;1 CANBERRA;SINGAPORE;768071
100008,Nikki,Wolf_005,M,,Nikki.Wolf_005@example.com,1,1,0,3,1,3.11,1,Colorado,Regular,0,0,77,6,29,0,0,enrolled,36,15;CANBERRA DRIVE;1 CANBERRA;SINGAPORE;768073
100009,Jane,Doe_386,F,,Jane.Doe_386@example.com,0,0,0,5,0,3.57,0,Missouri,Regular,0,1,89,31,29,0,0,declined,0,17;CANBERRA DRIVE;1 CANBERRA;SINGAPORE;768074
